"grouping","group_col","question","prop_agree","n","n_agree","sd_agree","se","ci_lower","ci_upper","cat_group"
"jd_size","Large","s_benefits_recat",85.9504132231405,242,208,0.348220970622382,2.23844917889498,81.5630528325063,90.3377736137747,"pay & benefits"
"jd_size","Large","s_sup_interpersonal_skills_recat",85.9504132231405,242,208,0.348220970622382,2.23844917889498,81.5630528325063,90.3377736137747,"supervisor"
"jd_size","Large","s_org_recat",85.5371900826446,242,207,0.352454443828979,2.26566297537095,81.0964906509176,89.9778895143717,"org & team"
"jd_size","Large","f_voice_concerns_recat",84.7107438016529,242,205,0.360629781121281,2.31821603389708,80.1670403752146,89.2544472280912,"org & team"
"jd_size","Large","f_work_life_balance_recat",83.4710743801653,242,202,0.372211233428991,2.39266442901317,78.7814520992995,88.1606966610311,"balance"
"jd_size","Large","f_manage_demands_recat",82.2314049586777,242,199,0.38304038189026,2.46227683184444,77.4053423682626,87.0574675490928,"balance"
"jd_size","Large","f_love_job_recat",79.3388429752066,242,192,0.40571345634851,2.60802487456967,74.2271142210501,84.4505717293632,"job"
"jd_size","Large","f_happy_input_recat",69.8347107438017,242,169,0.459926653195267,2.95652050293461,64.0399305580498,75.6294909295535,"org & team"
"jd_size","Large","f_paid_fairly_recat",61.1570247933884,242,148,0.488403289355273,3.13957525324481,55.0034572970286,67.3105922897483,"pay & benefits"
"jd_size","Large","s_pay_recat",58.6776859504132,242,142,0.49343274649431,3.17190582823299,52.4607505270766,64.8946213737499,"pay & benefits"
